PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,OFF FORM,OFF PLAY,PLAY DIR,DEF FRONT,COVERAGE,BLITZ,QTR,GN/LS
45,D,2,10,L,-40,Run,Rush,WISCONSIN RED,,R,,,,1,12
46,S,,,,,,,,,,,,,2,
47,D,1,10,R,48,Run,Rush,,,L,,,,2,-5
48,D,2,15,M,-47,Pass,Complete,IOWA BLACK,,R,,,,2,12
49,D,3,3,R,41,,Timeout,,,,,,,2,-5
50,D,4,8,R,46,Pass,Complete,,,L,,,,2,0
51,K,1,10,L,46,Fake Punt,"Rush, TD",DBL TE,,R,,,,2,46
52,K,,,M,3,Extra Pt. Block,No Good,,,,,,,2,
53,K,,,M,-40,KO Rec,Return,,,,,,,2,
54,O,1,10,R,-36,Run,Rush,,,L,,,,2,3
55,O,2,7,M,-39,Run,Rush,,,R,,,,2,4
56,O,3,3,M,-43,Pass,Scramble,,,R,,,,2,4
57,O,1,10,R,-47,Run,Rush,,,L,,,,2,10
58,O,1,10,L,43,Run,Rush,,,L,,,,2,0
59,O,2,10,L,43,Pass,Complete,,,L,,,,2,16
60,O,1,10,L,27,Run,Rush,WISCONSIN RED,,R,,,,2,5
61,O,2,5,L,22,Run,Rush,WISCONSIN RED,,R,,,,2,-2
62,O,3,7,M,24,Pass,Incomplete,Twins Split,,L,,,,2,0
63,S,,,,,,,FLA. BLUE,,,,,,2,
64,O,4,7,M,24,Pass,Sack,,,L,,,,2,8
65,D,1,10,M,-32,,Timeout,WISCONSIN RED,,,,,,2,0
66,D,1,10,M,-32,Run,Rush,WISCONSIN RED,,L,,,,2,-9
67,D,2,19,M,-23,Run,Penalty,,,R,,,,2,1
68,D,3,18,R,-24,Run,Rush,,,L,,,,2,-11
69,S,,,,,,,,,,,,,2,
70,D,4,29,M,-13,Pass,Incomplete,IOWA BLACK,,L,,,,2,0
71,S,,,,,,,,,,,,,2,
72,K,4,10,M,-13,,Penalty,DBL TE,,,,,,2,-5
73,K,4,10,M,-8,Punt Rec,Return,,,,,,,2,
74,S,,,,,,,,,,,,,2,
75,S,,,,,,,IOWA BLACK,,,,,,2,
76,O,1,10,L,35,Run,Rush,Wyoming brown,,R,,,,2,10
77,O,2,10,L,25,Pass,Sack,FLA. BLUE,,L,,,,2,0
78,S,,,,,,,,,,,,,2,
79,O,3,10,L,25,Run,Rush,Wyoming brown,,R,,,,2,2
80,O,4,8,R,23,Pass,Scramble,WISCONSIN RED,,R,,,,2,3
81,O,4,10,R,20,Pass,Sack,,,R,,,,2,-59
82,S,,,,-21,,,,,,,,,2,
83,D,1,10,L,-21,Run,Rush,,,L,,,,2,1
84,D,2,9,L,-22,Run,Rush,,,L,,,,2,3
85,D,3,6,L,-25,Pass,Complete,TEXAS BROWN,,R,,,,2,15
86,D,1,10,M,-40,,Timeout,IOWA BLACK,,,,,,2,0
87,D,2,10,M,-40,Pass,Incomplete,,,L,,,,2,0
88,S,,,,,,,,,,,,,2,
89,D,3,10,M,-40,Pass,Incomplete,FLA. BLUE,,R,,,,2,0
90,D,4,10,M,-40,Run,Rush,WISCONSIN RED,,L,,,,2,-2
91,K,1,10,M,-38,Punt Rec,Downed,DBL TE,,,,,,2,2
92,S,,,,,,,,,,,,,3,
93,S,,,,,,,,,,,,,3,
94,S,,,,,,,,,,,,,3,
95,S,,,,,,,,,,,,,3,
96,S,,,,,,,,,,,,,3,
97,K,,,M,-40,KO,Return,,,,,,,3,
98,D,1,10,L,-16,Run,Rush,Twins Split,,L,,,,3,22
99,D,1,10,L,-38,Run,Rush,,,L,,,,3,1
100,D,2,9,L,-39,Run,Rush,Wyoming brown,,R,,,,3,12
101,D,1,10,M,49,Run,Rush,Wyoming brown,,L,,,,3,0
102,D,2,10,L,49,Run,Penalty,Wyoming brown,,R,,,,3,-13
103,O,2,23,R,-38,Pass,Incomplete,WISCONSIN RED,,R,,,,3,0
104,O,3,23,R,-38,Pass,Scramble,,,R,,,,3,7
105,O,4,3,R,-45,Run,Rush,,,L,,,,3,5
106,O,2,5,M,50,Pass,Interception,,,L,,,,3,4
107,D,1,10,R,-46,Run,Rush,,,L,,,,3,4
108,D,2,6,M,50,Run,Rush,WISCONSIN RED,,R,,,,3,2
109,D,3,4,M,48,Run,Rush,,,R,,,,3,-1
110,S,,,,,,,,,,,,,3,
111,D,2,11,M,49,,Timeout,,,,,,,3,0
112,K,2,11,M,49,Punt Rec,Downed,DBL TE,,,,,,3,22
113,O,1,10,R,-17,Pass,Scramble,,,L,,,,3,3
114,O,2,7,R,-20,Run,Rush,,,L,,,,3,7
115,S,,,,,,,,,,,,,3,
116,O,1,10,M,-27,Run,Rush,,,L,,,,3,0
117,S,,,,,,,,,,,,,3,
118,S,,,,,,,,,,,,,3,
119,O,2,10,L,-27,,Penalty,,,,,,,3,5
120,O,2,5,M,-32,Run,Rush,,,R,,,,3,13
121,O,1,10,M,-45,Run,Rush,,,R,,,,3,-3
122,S,,,,,,,,,,,,,3,
123,O,2,13,M,-42,Pass,Scramble,,,L,,,,3,36
124,S,,,,,,,IOWA BLACK,,,,,,3,
125,O,1,10,L,22,Run,Rush,,,L,,,,3,4
126,O,2,6,L,18,Pass,Incomplete,,,L,,,,3,0
127,S,,,,,,,TEXAS BROWN,,,,,,3,
128,O,3,6,L,18,Run,Rush,,,R,,,,3,0
129,O,4,6,L,18,Run,Rush,,,R,,,,3,7
130,O,1,10,M,11,Pass,Scramble,Wyoming brown,,R,,,,3,7
131,S,,,,,,,,,,,,,3,
132,O,2,3,R,4,Run,Penalty,,,L,,,,3,2
133,O,2,1,M,2,Run,"Rush, TD",IOWA BLACK,,R,,,,3,2
134,K,1,10,M,3,Extra Pt.,Penalty,,,,,,,3,-5
135,K,1,3,M,8,Extra Pt.,No Good,,,,,,,3,
136,S,,,,,,,,,,,,,3,
137,K,,,M,-40,KO,Return,,,,,,,3,
138,S,,,,,,,,,,,,,3,
139,S,,,,,,,,,,,,,3,
140,D,1,10,L,-37,Run,Rush,Twins Split,,L,,,,3,5
141,D,2,5,L,-42,Run,Rush,Twins Split,,L,,,,3,3
142,D,3,2,L,-45,Run,Rush,Twins Split,,L,,,,3,1
143,K,4,1,L,-46,Punt Rec,Downed,DBL TE,,,,,,4,
144,O,1,10,R,-20,Run,Rush,Twins Split,,R,,,,4,5
145,O,2,5,R,-25,Run,Rush,,,L,,,,4,4
146,O,3,1,M,-29,Run,Rush,Wyoming brown,,R,,,,4,7
147,O,1,10,R,-36,Run,Rush,,,R,,,,4,2
148,O,2,8,R,-38,Run,Rush,,,R,,,,4,-1
