PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,OFF FORM,OFF PLAY,PLAY DIR,DEF FRONT,COVERAGE,BLITZ,QTR,GN/LS
99,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,
1,K,,,M,-40,KO Rec,Return,,,,,,,1,
2,O,1,10,M,-45,Run,Rush,IOWA BLACK,YIP READ LEFT,R,,,,1,2
3,O,2,8,R,-47,Run,Rush,IOWA BLACK,,R,,,,1,-4
4,O,3,12,R,-43,Run,Rush,IOWA BLACK,60 Y OVER,L,,,,1,3
5,K,4,9,L,-46,Punt Rec,Fair Catch,,,,,,,1,
6,D,1,10,M,-15,Run,Rush,Twins Split,,R,,,,1,2
7,D,2,8,R,-17,Run,Rush,Twins Split,,R,,,,1,-13
8,D,3,21,R,-4,Run,Rush,IOWA BLACK,,R,,,,1,2
9,K,4,19,R,-6,Punt Rec,Downed,IOWA BLACK,,,,,,1,
10,O,1,10,R,44,Run,Rush,,,L,,,,1,9
11,O,2,1,M,35,Run,Rush,WISCONSIN WHITE,ISO RIGHT,R,,,,1,16
12,O,1,10,M,19,Run,"Rush, TD",WISCONSIN WHITE,HIP ISO LEFT,L,,,,1,19
13,K,,,M,3,Extra Pt.,Good,,,,,,,1,
14,K,,,M,-40,KO,Return,,,,,,,1,
15,D,1,10,L,45,Run,Rush,IOWA BLACK,,R,,,,1,4
16,D,2,6,R,41,Run,Rush,IOWA BLACK,,L,,,,1,-6
17,D,2,12,R,47,,Penalty,IOWA BLACK,,,,,,1,-5
18,D,2,17,R,-48,,Penalty,IOWA BLACK,,,,,,1,-5
19,D,2,22,R,-43,Run,Rush,IOWA BLACK,,L,,,,1,-2
20,D,3,24,L,-41,Run,Rush,IOWA BLACK,,L,,,,1,-27
21,K,4,51,L,-14,Punt Rec,Downed,IOWA BLACK,,,,,,1,
22,O,1,10,M,49,Pass,Incomplete,WISCONSIN RED,YIP 51 SATURN,L,,,,1,0
23,O,2,10,R,49,Run,Rush,WISCONSIN RED,DUO RIGHT,L,,,,1,0
24,O,3,10,M,49,Pass,Complete,IOWA BLACK,61 H OVER,L,,,,1,38
25,O,1,10,L,11,Run,Rush,WYOMING GOLD,ISO LEFT,L,,,,1,8
26,O,2,2,L,3,Run,"Rush, TD",Wyoming brown,,L,,,,1,3
27,K,,,M,3,Extra Pt.,Block,,,,,,,1,
28,K,,,M,-40,KO,Return,,,,,,,1,
29,D,1,10,L,-48,Run,Rush,IOWA BLACK,,R,,,,1,4
30,D,2,6,M,48,Pass,Penalty,TEXAS BROWN,,L,,,,1,15
31,D,1,10,M,33,Run,Rush,TEXAS BROWN,,L,,,,1,-3
32,D,2,13,M,36,Pass,Sack,TEXAS BROWN,,L,,,,1,-8
33,D,3,21,M,44,Run,Rush,,,R,,,,2,1
34,K,4,20,M,43,Punt Rec,Downed,,,,,,,2,
35,O,1,10,L,-3,Pass,Complete,Wyoming brown,ISO LEFT BOOT RIGHT H UNDER (LOCK),R,,,,2,21
36,O,1,10,R,-24,Run,Rush,Wyoming brown,READ LEFT,L,,,,2,5
37,O,2,5,M,-29,Run,Rush,Twins Split,,L,,,,2,2
38,O,3,3,L,-31,,Penalty,Twins Split,,,,,,2,-5
39,O,3,8,L,-26,Pass,Incomplete,WISCONSIN RED,50 DODGE/FORD,R,,,,2,0
40,K,4,8,L,-26,Punt,Return,,,,,,,2,
41,D,1,10,M,-44,,Penalty,IOWA BLACK,,,,,,2,-5
42,D,1,15,M,-39,Pass,Complete,IOWA BLACK,,L,,,,2,11
43,D,2,4,L,50,Run,Rush,Twins Split,,L,,,,2,-14
44,D,3,18,L,-36,Run,Rush,IOWA BLACK,,L,,,,2,-5
45,K,4,23,L,-31,Punt Rec,Fair Catch,,,,,,,2,
