PLAY_#,ODK,DN,DIST,HASH,YARD_LN,PLAY_TYPE,RESULT,OFF_FORM,OFF_PLAY,PLAY_DIR,DEF_FRONT,COVERAGE,BLITZ,QTR,GN/LS,GAME,YARDS,UNIT,SERIES,OFF_STR,GAP,DEF_STR,KICK_YARDS,RET_YARDS,PENALTY,2_MIN,TEAM,OPP_TEAM,PASS_ZONE,PERSONNEL,MOTION,MOTION_DIR,PASSER_JERSEY,PASSER_NAME,RECEIVER_JERSEY,RECEIVER_NAME,TACKLER1_JERSEY,TACKLER1_NAME,TACKLER2_JERSEY,TACKLER2_NAME,RUSHER_JERSEY,RUSHER_NAME,KEY_PLAYER_JERSEY,KEY_PLAYER_NAME,BACKFIELD,EFF,RETURNER_JERSEY,RETURNER_NAME,KICKER_JERSEY,KICKER_NAME,RECOVERED_BY_JERSEY,RECOVERED_BY_NAME,INTERCEPTED_BY_JERSEY,INTERCEPTED_BY_NAME,OPP_RUSHER,OPP_PASSER,OPP_RECEIVER,OPP_TACKLER1,OPP_TACKLER2,OPP_RETURNER,OPP_KICKER,OPP_RECOVERED_BY,OPP_INTERCEPTED_BY,PROTECTION,TAG,NOTE,COMMENT,STR_CALL,WK_CALL,DRILL,STUNT,BALL_CARRIER,STR_ROUTES,WK_ROUTES,TE/SE,ST/WK,OPTION,SCORE,16,FIELD_/_BOUNDARY,Y/N,DUG_BACKFIELD,DUG_FORMATION,TOO/AWAY,NEAR/FAR,RUN/PASS,FORMATION_STRENGTH,FSL,SHIFT,RUN_STRENGTH,PASS_ROUTE,PASS_CHART,PASS_RESULT,SCRAMBLE,TRICK,TITLE,ROUTE,PEN_YARDS,POSITIVE,CRITICISM,OFFENSIVE_FORMATIONS
21.0,D,1.0,10.0,R,-47.0,Pass,Complete,UTAH RED,,L,,,,1.0,-2.0,CCC,-2.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,D,2.0,12.0,L,-45.0,Pass,Incomplete,IOWA BLACK,,R,,,,1.0,0.0,CCC,0.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,D,3.0,12.0,L,-45.0,Pass,Fumble,IOWA BLACK,,R,,,,1.0,-3.0,CCC,-3.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,O,1.0,10.0,L,42.0,Pass,Incomplete,IOWA BLACK,,R,,,,1.0,0.0,CCC,0.0,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,O,2.0,10.0,L,42.0,Run,Rush,Wyoming brown,,L,,,,1.0,-3.0,CCC,-3.0,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,O,3.0,13.0,L,45.0,Pass,Complete,WISCONSIN RED,,R,,,,1.0,25.0,CCC,25.0,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,O,1.0,10.0,R,20.0,Pass,Incomplete,Wyoming brown,,L,,,,1.0,0.0,CCC,0.0,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,O,2.0,10.0,R,20.0,Run,Rush,Wyoming brown,,L,,,,1.0,7.0,CCC,7.0,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,O,3.0,3.0,L,13.0,Run,Rush,Twins Split,,R,,,,1.0,0.0,CCC,0.0,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,O,4.0,3.0,R,13.0,Pass,Complete,Twins Split,,L,,,,1.0,6.0,CCC,6.0,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
