clip_file,track_id,jersey_number,player_name,team_name,inferred_position,alignment,depth_from_los,in_box,on_line,first_step_sec,first_step_grade,penetration_depth,lateral_movement,defensive_grade
End Zone - Clip 016.mp4,5062,,,DEFENSE,DL,5-tech,0.058,True,False,0.067,Elite,0.064,,Elite
End Zone - Clip 016.mp4,4973,,,DEFENSE,CB,Press,0.076,False,False,0.167,Elite,,0.091,Elite
End Zone - Clip 016.mp4,5128,,,DEFENSE,EDGE,DE (down),0.036,True,False,,,,,Average
End Zone - Clip 016.mp4,5174,,,DEFENSE,DL,3-tech,0.012,True,True,0.200,Above Average,0.048,,Above Average
End Zone - Clip 016.mp4,5197,,,DEFENSE,DL,5-tech,0.039,True,False,0.467,Below Average,,,Below Average
End Zone - Clip 017.mp4,5255,,,DEFENSE,EDGE,DE (down),0.025,True,True,0.067,Elite,,,Elite
End Zone - Clip 017.mp4,5392,,,DEFENSE,SLOT,Nickel/Slot,0.115,False,False,0.067,Elite,,0.086,Elite
End Zone - Clip 017.mp4,5416,,,DEFENSE,EDGE,DE (down),0.042,False,False,0.033,Elite,,,Elite
End Zone - Clip 017.mp4,5458,,,DEFENSE,DL,0-tech (Nose),0.004,True,True,0.133,Elite,,,Elite
End Zone - Clip 017.mp4,5482,,,DEFENSE,DL,5-tech,0.008,True,True,0.033,Elite,,,Elite
End Zone - Clip 018.mp4,5861,,,DEFENSE,CB,Off (5-7 yards),0.097,False,False,0.033,Elite,,0.035,Elite
End Zone - Clip 018.mp4,5938,,,DEFENSE,UNKNOWN,,0.199,True,False,0.067,Elite,,,Elite
End Zone - Clip 018.mp4,6047,,,DEFENSE,LB,WILL (weak),0.063,True,False,0.067,Elite,,,Elite
End Zone - Clip 018.mp4,6073,,,DEFENSE,DL,3-tech,0.069,True,False,0.067,Elite,,,Elite
End Zone - Clip 018.mp4,6086,,,DEFENSE,EDGE,DE (down),0.019,False,True,0.067,Elite,,,Elite
End Zone - Clip 018.mp4,6192,,,DEFENSE,DL,3-tech,0.041,True,False,0.100,Elite,,,Elite
End Zone - Clip 018.mp4,6198,,,DEFENSE,EDGE,DE (down),0.082,False,False,0.067,Elite,,,Elite
End Zone - Clip 018.mp4,6206,,,DEFENSE,EDGE,DE (down),0.070,False,False,0.033,Elite,,,Elite
End Zone - Clip 018.mp4,6214,,,DEFENSE,EDGE,DE (down),0.043,False,False,0.067,Elite,,,Elite
End Zone - Clip 018.mp4,6215,,,DEFENSE,EDGE,DE (down),0.020,False,True,0.033,Elite,,,Elite
End Zone - Clip 018.mp4,6216,,,DEFENSE,CB,Off (5-7 yards),0.088,False,False,0.067,Elite,,0.054,Elite
End Zone - Clip 019.mp4,6296,,,DEFENSE,UNKNOWN,,0.193,True,False,0.133,Elite,,,Elite
End Zone - Clip 019.mp4,6302,,,DEFENSE,S,Free Safety (centerfield),0.208,True,False,0.133,Elite,,0.067,Elite
End Zone - Clip 019.mp4,6428,,,DEFENSE,S,Deep half,0.372,False,False,0.100,Elite,,0.057,Elite
End Zone - Clip 019.mp4,6456,,,DEFENSE,S,Strong Safety,0.222,True,False,0.100,Elite,,0.051,Elite
End Zone - Clip 019.mp4,6533,,,DEFENSE,S,Strong Safety,0.201,True,False,0.100,Elite,,0.040,Elite
End Zone - Clip 020.mp4,6614,,,DEFENSE,CB,Deep,0.193,False,False,0.167,Elite,,0.292,Elite
End Zone - Clip 020.mp4,6616,,,DEFENSE,DL,3-tech,0.029,True,True,0.200,Above Average,,,Above Average
End Zone - Clip 020.mp4,6618,,,DEFENSE,SLOT,Nickel/Slot,0.057,False,False,0.100,Elite,,0.132,Elite
End Zone - Clip 020.mp4,6619,,,DEFENSE,EDGE,OLB (up),0.037,False,False,0.133,Elite,,,Elite
End Zone - Clip 020.mp4,6628,,,DEFENSE,DL,3-tech,0.028,True,True,0.167,Elite,,,Elite
End Zone - Clip 020.mp4,6566,,,DEFENSE,LB,MIKE (middle),0.070,True,False,0.033,Elite,,,Elite
End Zone - Clip 020.mp4,6656,,,DEFENSE,LB,MIKE (middle),0.037,True,False,0.100,Elite,,,Elite
End Zone - Clip 020.mp4,6675,,,DEFENSE,EDGE,DE (down),0.016,False,True,0.200,Above Average,,,Above Average
End Zone - Clip 021.mp4,6895,,,DEFENSE,DL,1-tech,0.000,True,True,0.033,Elite,,,Elite
End Zone - Clip 021.mp4,6865,,,DEFENSE,EDGE,DE (down),0.012,False,True,0.033,Elite,,,Elite
End Zone - Clip 021.mp4,6919,,,DEFENSE,DL,1-tech,0.030,True,False,0.033,Elite,,,Elite
End Zone - Clip 021.mp4,6987,,,DEFENSE,EDGE,DE (down),0.032,False,False,0.400,Below Average,,,Below Average
End Zone - Clip 021.mp4,7074,,,DEFENSE,DL,3-tech,0.050,True,False,0.067,Elite,,,Elite
End Zone - Clip 021.mp4,7079,,,DEFENSE,CB,Off (5-7 yards),0.091,False,False,0.033,Elite,,0.085,Elite
End Zone - Clip 021.mp4,7109,,,DEFENSE,DL,0-tech (Nose),0.012,True,True,0.100,Elite,,,Elite
End Zone - Clip 022.mp4,7305,,,DEFENSE,SLOT,Nickel/Slot,0.145,False,False,0.033,Elite,,0.013,Elite
End Zone - Clip 022.mp4,7307,,,DEFENSE,CB,Deep,0.163,False,False,0.033,Elite,,0.010,Elite
End Zone - Clip 022.mp4,7344,,,DEFENSE,LB,WILL (weak),0.042,True,False,0.100,Elite,,,Elite
End Zone - Clip 022.mp4,7351,,,DEFENSE,LB,WILL (weak),0.045,True,False,0.100,Elite,,,Elite
End Zone - Clip 022.mp4,7411,,,DEFENSE,LB,SAM (strong),0.069,True,False,,,,,Average
End Zone - Clip 022.mp4,7414,,,DEFENSE,LB,SAM (strong),0.061,True,False,0.434,Average,,,Average
End Zone - Clip 022.mp4,7442,,,DEFENSE,CB,Press,0.050,False,False,0.033,Elite,,0.011,Elite
End Zone - Clip 023.mp4,7389,,,DEFENSE,SLOT,Nickel/Slot,0.124,False,False,1.602,Developmental,,0.004,Below Average
End Zone - Clip 023.mp4,7542,,,DEFENSE,LB,WILL (weak),0.067,True,False,0.133,Elite,,,Elite
End Zone - Clip 023.mp4,7332,,,DEFENSE,LB,SAM (strong),0.069,True,False,0.067,Elite,,,Elite
End Zone - Clip 023.mp4,7593,78,,DEFENSE,LB,WILL (weak),0.060,True,False,0.200,Elite,,,Elite
End Zone - Clip 023.mp4,7645,,,DEFENSE,LB,MIKE (middle),0.070,True,False,0.033,Elite,,,Elite
End Zone - Clip 024.mp4,7622,,,DEFENSE,SLOT,Nickel/Slot,0.077,False,False,0.234,Elite,,0.074,Elite
End Zone - Clip 024.mp4,7680,,,DEFENSE,LB,WILL (weak),0.077,True,False,0.167,Elite,,,Elite
End Zone - Clip 024.mp4,7722,,,DEFENSE,LB,SAM (strong),0.118,True,False,0.067,Elite,,,Elite
End Zone - Clip 024.mp4,7814,,,DEFENSE,LB,WILL (weak),0.066,True,False,0.334,Above Average,,,Above Average
End Zone - Clip 024.mp4,7821,,,DEFENSE,LB,WILL (weak),0.086,True,False,1.034,Developmental,,,Below Average
End Zone - Clip 025.mp4,8320,,,DEFENSE,UNKNOWN,,0.192,False,False,0.500,Below Average,,,Below Average
End Zone - Clip 025.mp4,8186,,,DEFENSE,LB,SAM (strong),0.094,True,False,1.201,Developmental,,,Below Average
End Zone - Clip 025.mp4,8332,,,DEFENSE,CB,Off (5-7 yards),0.108,False,False,0.100,Elite,,0.037,Elite
