clip_file,track_id,jersey_number,player_name,team_name,inferred_position,alignment,depth_from_los,in_box,on_line,first_step_sec,first_step_grade,penetration_depth,lateral_movement,defensive_grade
End Zone - Clip 021.mp4,9608,,,DEFENSE,EDGE,DE (down),0.014,True,True,,,,,Average
End Zone - Clip 021.mp4,9630,,,DEFENSE,EDGE,OLB (up),0.032,True,False,0.033,Elite,0.050,,Elite
End Zone - Clip 021.mp4,9826,,,DEFENSE,SLOT,Nickel/Slot,0.087,False,False,,,,0.004,Average
End Zone - Clip 021.mp4,9825,,,DEFENSE,S,Strong Safety,0.215,True,False,,,,0.005,Average
End Zone - Clip 021.mp4,9849,,,DEFENSE,EDGE,DE (down),0.029,False,True,0.434,Below Average,,,Below Average
End Zone - Clip 021.mp4,9855,,,DEFENSE,DL,5-tech,0.019,True,True,0.133,Elite,,,Elite
End Zone - Clip 022.mp4,9951,,,DEFENSE,DL,5-tech,0.062,True,False,0.133,Elite,0.027,,Elite
End Zone - Clip 022.mp4,9881,,,DEFENSE,DL,1-tech,0.012,True,True,0.300,Average,,,Average
End Zone - Clip 022.mp4,9954,,,DEFENSE,UNKNOWN,,0.182,True,False,0.067,Elite,,,Elite
End Zone - Clip 022.mp4,9955,,,DEFENSE,CB,Deep,0.249,False,False,0.033,Elite,,0.197,Elite
End Zone - Clip 022.mp4,9957,,,DEFENSE,DL,1-tech,0.069,True,False,,,,,Average
End Zone - Clip 022.mp4,9961,,,DEFENSE,DL,0-tech (Nose),0.072,True,False,0.033,Elite,,,Elite
End Zone - Clip 022.mp4,10000,,,DEFENSE,DL,5-tech,0.015,True,True,0.133,Elite,,,Elite
End Zone - Clip 022.mp4,10018,,,DEFENSE,DL,3-tech,0.044,True,False,0.100,Elite,,,Elite
End Zone - Clip 022.mp4,10022,,,DEFENSE,DL,3-tech,0.066,True,False,0.133,Elite,,,Elite
End Zone - Clip 022.mp4,10025,,,DEFENSE,DL,5-tech,0.059,True,False,0.133,Elite,,,Elite
End Zone - Clip 022.mp4,10032,,,DEFENSE,EDGE,DE (down),0.030,False,True,,,,,Average
End Zone - Clip 023.mp4,10211,,,DEFENSE,LB,WILL (weak),0.040,True,False,0.067,Elite,,,Elite
End Zone - Clip 023.mp4,10218,,,DEFENSE,DL,0-tech (Nose),0.030,True,True,0.133,Elite,,,Elite
End Zone - Clip 023.mp4,10227,,,DEFENSE,LB,SAM (strong),0.034,True,False,0.234,Elite,,,Elite
End Zone - Clip 023.mp4,10239,,,DEFENSE,LB,MIKE (middle),0.047,True,False,0.100,Elite,,,Elite
End Zone - Clip 023.mp4,10246,,,DEFENSE,DL,0-tech (Nose),0.009,True,True,,,,,Average
End Zone - Clip 023.mp4,10252,,,DEFENSE,LB,WILL (weak),0.035,True,False,0.033,Elite,,,Elite
End Zone - Clip 024.mp4,10596,,,DEFENSE,DL,5-tech,0.030,True,True,0.100,Elite,,,Elite
End Zone - Clip 024.mp4,10599,,,DEFENSE,EDGE,OLB (up),0.036,True,False,0.200,Above Average,,,Above Average
End Zone - Clip 024.mp4,10601,,,DEFENSE,EDGE,OLB (up),0.033,False,False,0.701,Developmental,,,Below Average
End Zone - Clip 024.mp4,10606,,,DEFENSE,DL,5-tech,0.012,True,True,0.133,Elite,,,Elite
End Zone - Clip 026.mp4,11194,,,DEFENSE,LB,SAM (strong),0.137,True,False,,,,,Average
End Zone - Clip 026.mp4,11091,,,DEFENSE,EDGE,OLB (up),0.036,True,False,0.067,Elite,,,Elite
End Zone - Clip 026.mp4,11207,,,DEFENSE,EDGE,DE (down),0.012,True,True,0.300,Average,,,Average
End Zone - Clip 026.mp4,11227,,,DEFENSE,EDGE,DE (down),0.006,False,True,0.033,Elite,,,Elite
End Zone - Clip 026.mp4,11313,,,DEFENSE,DL,0-tech (Nose),0.023,True,True,0.033,Elite,,,Elite
End Zone - Clip 026.mp4,11355,,,DEFENSE,LB,SAM (strong),0.056,True,False,0.067,Elite,,,Elite
End Zone - Clip 028.mp4,12105,,,DEFENSE,LB,SAM (strong),0.058,True,False,1.435,Developmental,,,Below Average
End Zone - Clip 028.mp4,12220,,,DEFENSE,EDGE,DE (down),0.012,False,True,0.467,Below Average,,,Below Average
End Zone - Clip 028.mp4,12174,,,DEFENSE,EDGE,DE (down),0.024,False,True,0.067,Elite,,,Elite
End Zone - Clip 028.mp4,12253,,,DEFENSE,SLOT,Nickel/Slot,0.065,False,False,0.067,Elite,,0.069,Elite
End Zone - Clip 028.mp4,12251,,,DEFENSE,SLOT,Nickel/Slot,0.063,False,False,0.100,Elite,,0.066,Elite
End Zone - Clip 028.mp4,12255,,,DEFENSE,EDGE,OLB (up),0.039,True,False,0.133,Elite,0.016,,Elite
End Zone - Clip 028.mp4,12278,,,DEFENSE,LB,SAM (strong),0.052,True,False,0.367,Average,,,Average
End Zone - Clip 028.mp4,12280,,,DEFENSE,LB,WILL (weak),0.097,True,False,0.033,Elite,,,Elite
End Zone - Clip 028.mp4,12334,,,DEFENSE,LB,WILL (weak),0.041,True,False,0.100,Elite,,,Elite
End Zone - Clip 029.mp4,12580,,,DEFENSE,S,Strong Safety,0.237,True,False,,,,,Average
End Zone - Clip 030.mp4,12858,,,DEFENSE,CB,Off (5-7 yards),0.144,False,False,0.100,Elite,,0.097,Elite
End Zone - Clip 031.mp4,13315,,,DEFENSE,LB,WILL (weak),0.056,True,False,,,,,Average
End Zone - Clip 031.mp4,13367,,,DEFENSE,LB,WILL (weak),0.125,True,False,0.167,Elite,,,Elite
End Zone - Clip 031.mp4,13404,,,DEFENSE,SLOT,Nickel/Slot,0.093,False,False,0.500,Below Average,,0.071,Below Average
End Zone - Clip 031.mp4,13438,,,DEFENSE,CB,Off (5-7 yards),0.099,False,False,0.367,Average,,0.005,Average
End Zone - Clip 031.mp4,13444,,,DEFENSE,CB,Off (5-7 yards),0.100,False,False,,,,,Average
End Zone - Clip 032.mp4,13704,,,DEFENSE,S,Deep half,0.203,True,False,0.033,Elite,,0.014,Elite
End Zone - Clip 032.mp4,13880,,,DEFENSE,S,Strong Safety,0.311,True,False,,,,,Average
End Zone - Clip 033.mp4,14143,,,DEFENSE,CB,Off (5-7 yards),0.139,False,False,0.634,Below Average,,0.051,Below Average
End Zone - Clip 033.mp4,14144,,,DEFENSE,S,Deep half,0.271,True,False,0.467,Average,,0.166,Above Average
End Zone - Clip 033.mp4,14145,,,DEFENSE,LB,MIKE (middle),0.113,True,False,0.834,Developmental,,,Below Average
End Zone - Clip 033.mp4,14227,,,DEFENSE,S,Free Safety (centerfield),0.221,True,False,,,,,Average
End Zone - Clip 033.mp4,14252,,,DEFENSE,S,Strong Safety,0.250,True,False,0.267,Above Average,,0.242,Elite
End Zone - Clip 033.mp4,14256,,,DEFENSE,UNKNOWN,,0.174,False,False,0.767,Developmental,,,Below Average
