clip_file,track_id,jersey_number,player_name,team_name,inferred_position,alignment,depth_from_los,in_box,on_line,first_step_sec,first_step_grade,penetration_depth,lateral_movement,defensive_grade
End Zone - Clip 010.mp4,3826,,,DEFENSE,LB,WILL (weak),0.051,True,False,0.133,Elite,,,Elite
End Zone - Clip 010.mp4,3829,,,DEFENSE,DL,0-tech (Nose),0.014,True,True,0.267,Above Average,,,Above Average
End Zone - Clip 010.mp4,3858,,,DEFENSE,DL,1-tech,0.016,True,True,,,,,Average
End Zone - Clip 010.mp4,3860,,,DEFENSE,DL,3-tech,0.030,True,True,0.100,Elite,0.010,,Elite
End Zone - Clip 011.mp4,4080,,,DEFENSE,DL,1-tech,0.082,True,False,0.100,Elite,,,Elite
End Zone - Clip 011.mp4,4091,,,DEFENSE,DL,0-tech (Nose),0.013,True,True,0.100,Elite,,,Elite
End Zone - Clip 011.mp4,4145,,,DEFENSE,EDGE,DE (down),0.102,True,False,0.100,Elite,,,Elite
End Zone - Clip 011.mp4,4172,,,DEFENSE,EDGE,DE (down),0.061,True,False,,,,,Average
End Zone - Clip 011.mp4,4182,,,DEFENSE,DL,0-tech (Nose),0.095,True,False,0.167,Elite,,,Elite
End Zone - Clip 011.mp4,4203,,,DEFENSE,DL,3-tech,0.083,True,False,0.100,Elite,,,Elite
End Zone - Clip 011.mp4,4235,,,DEFENSE,EDGE,DE (down),0.104,False,False,0.100,Elite,,,Elite
End Zone - Clip 011.mp4,4237,,,DEFENSE,EDGE,DE (down),0.091,False,False,,,,,Average
End Zone - Clip 012.mp4,4786,,,DEFENSE,CB,Press,0.079,False,False,0.033,Elite,,0.271,Elite
End Zone - Clip 012.mp4,4797,,,DEFENSE,DL,5-tech,0.027,True,True,0.033,Elite,0.018,,Elite
End Zone - Clip 012.mp4,4811,,,DEFENSE,DL,0-tech (Nose),0.022,True,True,0.033,Elite,,,Elite
End Zone - Clip 012.mp4,4833,,,DEFENSE,DL,5-tech,0.021,True,True,0.033,Elite,,,Elite
End Zone - Clip 013.mp4,5023,,,DEFENSE,DL,5-tech,0.015,True,True,0.067,Elite,,,Elite
End Zone - Clip 013.mp4,5024,,,DEFENSE,EDGE,DE (down),0.029,False,True,0.033,Elite,,,Elite
End Zone - Clip 013.mp4,5026,,,DEFENSE,EDGE,DE (down),0.086,False,False,0.067,Elite,0.094,,Elite
End Zone - Clip 013.mp4,5027,,,DEFENSE,EDGE,DE (down),0.030,False,False,0.033,Elite,0.036,,Elite
End Zone - Clip 013.mp4,5025,,,DEFENSE,LB,SAM (strong),0.109,True,False,0.033,Elite,,,Elite
End Zone - Clip 013.mp4,5034,,,DEFENSE,DL,5-tech,0.018,True,True,0.067,Elite,,,Elite
End Zone - Clip 013.mp4,5039,,,DEFENSE,LB,SAM (strong),0.039,True,False,0.067,Elite,,,Elite
End Zone - Clip 013.mp4,5062,,,DEFENSE,LB,MIKE (middle),0.072,True,False,0.067,Elite,,,Elite
End Zone - Clip 014.mp4,5485,,,DEFENSE,UNKNOWN,,0.175,True,False,0.100,Elite,,,Elite
End Zone - Clip 014.mp4,5567,,,DEFENSE,UNKNOWN,,0.159,True,False,0.067,Elite,,,Elite
End Zone - Clip 014.mp4,5571,,,DEFENSE,SLOT,Nickel/Slot,0.092,False,False,0.100,Elite,,0.081,Elite
End Zone - Clip 014.mp4,5585,,,DEFENSE,S,Deep half,0.340,True,False,0.133,Elite,,0.034,Elite
End Zone - Clip 015.mp4,5650,,,DEFENSE,DL,0-tech (Nose),0.086,True,False,0.701,Developmental,0.086,,Below Average
End Zone - Clip 015.mp4,5678,,,DEFENSE,LB,WILL (weak),0.140,True,False,0.901,Developmental,,,Below Average
End Zone - Clip 015.mp4,5682,,,DEFENSE,EDGE,DE (down),0.078,False,False,0.701,Developmental,0.071,,Below Average
End Zone - Clip 015.mp4,5680,,,DEFENSE,EDGE,DE (down),0.091,True,False,0.634,Developmental,0.089,,Below Average
