clip_file,track_id,jersey_number,player_name,roster_position,team,team_name,jersey_color,inferred_position,recognition_latency_sec,recognition_latency_grade,first_step_sec,first_step_grade,post_snap_distance,initial_velocity,sdi_score,sdi_grade
ricky_powers_michigan.mp4,250,,,,michigan,MICHIGAN,,,,,,,0.094,,5018.0,Average
ricky_powers_michigan.mp4,251,,,,michigan,MICHIGAN,,,,,,,,,5000.0,Average
ricky_powers_michigan.mp4,252,,,,michigan,MICHIGAN,,,,,,,,,5000.0,Average
ricky_powers_michigan.mp4,255,,,,michigan,MICHIGAN,,,,,,,0.674,,5134.0,Average
ricky_powers_michigan.mp4,256,,,,michigan,MICHIGAN,,,,,,,0.016,,5003.0,Average
ricky_powers_michigan.mp4,257,,,,michigan,MICHIGAN,,,,,,,0.061,,5012.0,Average
ricky_powers_michigan.mp4,259,,,,michigan,MICHIGAN,,,,,,,1.269,,5253.0,Average
ricky_powers_michigan.mp4,260,,,,michigan,MICHIGAN,,,,,,,0.500,,5099.0,Average
ricky_powers_michigan.mp4,262,,,,michigan,MICHIGAN,,,,,,,0.018,,5003.0,Average
ricky_powers_michigan.mp4,261,,,,michigan,MICHIGAN,,,,,,,0.044,,5008.0,Average
ricky_powers_michigan.mp4,273,,,,michigan,MICHIGAN,,,,,,,0.568,,5113.0,Average
ricky_powers_michigan.mp4,276,,,,michigan,MICHIGAN,,,,,,,0.181,,5036.0,Average
ricky_powers_michigan.mp4,277,,,,michigan,MICHIGAN,,,,,,,0.270,,5054.0,Average
ricky_powers_michigan.mp4,281,,,,michigan,MICHIGAN,,,,,,,0.485,,5096.0,Average
ricky_powers_michigan.mp4,289,,,,michigan,MICHIGAN,,,,,,,,,5000.0,Average
ricky_powers_michigan.mp4,290,,,,michigan,MICHIGAN,,,,,,,0.380,,5076.0,Average
ricky_powers_michigan.mp4,292,,,,michigan,MICHIGAN,,,,,,,0.446,,5089.0,Average
ricky_powers_michigan.mp4,294,,,,michigan,MICHIGAN,,,,,,,0.686,,5137.0,Average
ricky_powers_michigan.mp4,296,,,,michigan,MICHIGAN,,,,,,,0.210,,5042.0,Average
ricky_powers_michigan.mp4,300,,,,michigan,MICHIGAN,,,,,,,0.251,,5050.0,Average
ricky_powers_michigan.mp4,301,,,,michigan,MICHIGAN,,,,,,,1.989,,5397.0,Average
ricky_powers_michigan.mp4,303,,,,michigan,MICHIGAN,,,,,,,0.043,,5008.0,Average
ricky_powers_michigan.mp4,308,,,,michigan,MICHIGAN,,,,,,,0.017,,5003.0,Average
ricky_powers_michigan.mp4,310,,,,michigan,MICHIGAN,,,,,,,,,5000.0,Average
ricky_powers_michigan.mp4,319,,,,michigan,MICHIGAN,,,,,,,0.031,,5006.0,Average
ricky_powers_michigan.mp4,321,,,,michigan,MICHIGAN,,,,,,,0.068,,5013.0,Average
ricky_powers_michigan.mp4,327,,,,michigan,MICHIGAN,,,,,,,0.542,,5108.0,Average
